OBJECTID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape__Area,Shape__Length
50,1,Manhattan,061,MN17,Midtown-Midtown South,30191566.3970032,27032.5825366767
51,1,Manhattan,061,MN40,Upper East Side-Carnegie Hill,20065364.3159485,23778.4103624146
52,2,Bronx,005,BX26,Highbridge,16457769.9135437,18506.1624593521
53,3,Brooklyn,047,BK21,Seagate-Coney Island,38782040.5929718,51873.8009695029
54,2,Bronx,005,BX22,North Riverdale-Fieldston-Riverdale,49048271.9609833,31850.4536604711
55,2,Bronx,005,BX29,Spuyten Duyvil-Kingsbridge,23214099.1784058,27990.5385866478
56,3,Brooklyn,047,BK40,Windsor Terrace,14041728.279892,19033.4645107799
57,3,Brooklyn,047,BK50,Canarsie,82098877.4510651,43718.3553949332
58,3,Brooklyn,047,BK42,Flatbush,45254807.5575256,38737.8532128563
59,3,Brooklyn,047,BK58,Flatlands,54341776.2037964,40635.2753424266
60,4,Queens,081,QN45,Douglas Manor-Douglaston-Little Neck,68394179.1033936,45784.376386048
61,2,Bronx,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,51983843.5296021,67340.0942274043
62,3,Brooklyn,047,BK37,Park Slope-Gowanus,42509055.4974213,31476.5261975428
63,5,Staten Island,085,SI11,Charleston-Richmond Valley-Tottenville,145674728.892021,84845.3804214356
64,5,Staten Island,085,SI32,Rossville-Woodrow,64963266.5370865,33246.8105531844
65,1,Manhattan,061,MN32,Yorkville,13602039.7711945,17998.6264548959
66,4,Queens,081,QN48,Auburndale,34164862.1301117,32452.035718713
67,4,Queens,081,QN52,East Flushing,29453735.7125854,25848.5228472253
68,2,Bronx,005,BX35,Morrisania-Melrose,16891753.4981537,27740.8462488819
69,1,Manhattan,061,MN01,Marble Hill-Inwood,17732715.6413422,31844.3334288398
70,1,Manhattan,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,37068405.5985107,45693.0248128383
71,1,Manhattan,061,MN23,West Village,24970652.2800903,28621.3525678429
72,1,Manhattan,061,MN12,Upper West Side,34379942.4562836,29160.2065320022
73,2,Bronx,005,BX43,Norwood,15724928.3207245,22150.3082204826
74,2,Bronx,005,BX05,Bedford Park-Fordham North,14998883.4758759,22565.4811929553
75,2,Bronx,005,BX40,Fordham South,6308875.23640442,15880.3520715961
76,2,Bronx,005,BX41,Mount Hope,14716710.8358917,18937.2481527302
77,2,Bronx,005,BX03,Eastchester-Edenwald-Baychester,40256794.3485565,59164.999449238
78,2,Bronx,005,BX13,Co-op City,39833694.8750458,30327.1281345542
79,3,Brooklyn,047,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,63341615.9721832,91050.3369448274
80,5,Staten Island,085,SI08,Grymes Hill-Clifton-Fox Hills,37752516.8382263,37119.8828999877
81,4,Queens,081,QN05,Rosedale,61568991.8176727,64160.756671457
82,5,Staten Island,085,SI45,New Dorp-Midland Beach,55429278.8160324,34336.3720475116
83,3,Brooklyn,047,BK09,Brooklyn Heights-Cobble Hill,9983685.60765076,14264.7633802464
84,3,Brooklyn,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,69463917.8624115,91992.5731775419
85,2,Bronx,005,BX49,Pelham Parkway,23032723.7767792,25823.0068096958
86,3,Brooklyn,047,BK33,Carroll Gardens-Columbia Street-Red Hook,44601523.0506134,60819.9889130264
87,4,Queens,081,QN46,Bayside-Bayside Hills,80798589.9491882,43020.7879368034
88,1,Manhattan,061,MN04,Hamilton Heights,16096136.3010101,17411.382380106
89,1,Manhattan,061,MN33,East Harlem South,16650687.5712128,18624.6648077795
90,4,Queens,081,QN71,Old Astoria,15619596.9170074,19366.2172977683
91,1,Manhattan,061,MN99,park-cemetery-etc-Manhattan,91544701.2080994,155524.921600457
92,4,Queens,081,QN72,Steinway,57724293.4057007,43560.4154145959
93,4,Queens,081,QN47,Ft. Totten-Bay Terrace-Clearview,46292547.0148315,39625.3017370714
94,1,Manhattan,061,MN11,Central Harlem South,14439255.7030945,16620.9965354448
95,1,Manhattan,061,MN34,East Harlem North,24494898.3487396,30603.7188231146
96,4,Queens,081,QN22,Flushing,37865104.8237152,38362.5358644091
97,3,Brooklyn,047,BK34,Sunset Park East,27110150.0658264,25901.7867016316
98,4,Queens,081,QN42,Oakland Gardens,51009720.0708466,42410.0261376583
99,3,Brooklyn,047,BK32,Sunset Park West,49989915.2212677,83323.4485964859
100,2,Bronx,005,BX30,Kingsbridge Heights,13163230.7357025,21108.6703676009
101,2,Bronx,005,BX36,University Heights-Morris Heights,21255485.4647522,24100.4320396442
102,5,Staten Island,085,SI35,New Brighton-Silver Lake,47137265.4936066,30320.293393996
103,5,Staten Island,085,SI22,West New Brighton-New Brighton-St. George,56030324.8386078,66054.0167167987
104,4,Queens,081,QN37,Kew Gardens Hills,37888360.516861,33105.7244874147
105,4,Queens,081,QN25,Corona,20077317.3316956,23868.6416636365
106,4,Queens,081,QN26,North Corona,18003849.5065155,18429.5331701974
107,1,Manhattan,061,MN22,East Village,10894242.5994415,13555.2320290532
108,2,Bronx,005,BX75,Crotona Park East,16310701.8105774,24773.510441989
109,5,Staten Island,085,SI07,Westerleigh,63256188.7273254,41657.305675763
110,5,Staten Island,085,SI28,Port Richmond,36419901.6577911,39040.7933672472
111,1,Manhattan,061,MN28,Lower East Side,23296938.0102234,25466.646022396
112,3,Brooklyn,047,BK19,Brighton Beach,17180027.3083038,21060.1537922664
113,3,Brooklyn,047,BK23,West Brighton,8738903.59352112,14113.57472921
114,4,Queens,081,QN17,Forest Hills,57827628.6412354,36171.4599433988
115,4,Queens,081,QN18,Rego Park,19941812.626358,26675.103299653
116,1,Manhattan,061,MN20,Murray Hill-Kips Bay,14485874.9090576,24491.3108503537
117,4,Queens,081,QN28,Jackson Heights,47858565.6856995,29423.4778258352
118,4,Queens,081,QN63,Woodside,28246732.9416046,27869.2911394095
119,2,Bronx,005,BX14,East Concourse-Concourse Village,18221676.9012146,27199.7406672107
120,4,Queens,081,QN35,Briarwood-Jamaica Hills,29377367.2259064,30029.2433834446
121,4,Queens,081,QN60,Kew Gardens,20492528.0937195,21440.5679456888
122,4,Queens,081,QN70,Astoria,39336060.7409821,32534.6269993392
123,4,Queens,081,QN62,Queensboro Hill,26541903.7263336,30690.1445605237
124,3,Brooklyn,047,BK76,Greenpoint,35321931.1867981,28914.314299718
