Local Area Unemployment Statistics,,,,,,,,
Original Data Value,,,,,,,,

Series Id:,"LAUST360000000000003,LAUST360000000000004,LAUST360000000000005,LAUST360000000000006,LAUST360000000000007,LAUST360000000000008,LAUST360000000000009",,,,,,,
Not Seasonally Adjusted,,,,,,,,
Area:,New York,,,,,,,
Area Type:,Statewide,,,,,,,
State/Region/Division:,New York,,,,,,,
Years:,2010 to 2020,,,,,,,

Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2020,Mar,15627771,60.4,57.8,9431634,9030852,400782,4.2
2020,Apr,15623741,57.9,49.1,9039687,7675229,1364458,15.1
2020,May,15620246,58.0,49.8,9064228,7778853,1285375,14.2
2020,Jun,15617170,60.4,51.1,9438251,7976843,1461408,15.5
2020,Jul,15614755,62.0,52.1,9687509,8139778,1547731,16.0
2020,Aug,15613186,61.0,53.3,9518455,8324661,1193794,12.5
2020,Sep,15611485,58.5,53.0,9128601,8279122,849479,9.3
2020,Oct,15609688,58.0,52.8,9055222,8240321,814901,9.0
2020,Nov,15606588,58.1,53.3,9061253,8325545,735708,8.1
2020,Dec,15602597,57.9,53.2,9037394,8304223,733171,8.1
