"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Williamsburg/Greenpoint,Bicycle,2016,Percent,0.03076,301
Fort Greene/Brooklyn Hts,Bicycle,2016,Percent,0.0397,302
Bedford Stuyvesant,Bicycle,2016,Percent,0.02726,303
Bushwick,Bicycle,2016,Percent,0.03559,304
East New York,Bicycle,2016,Percent,0.00113,305
Park Slope,Bicycle,2016,Percent,0.03099,306
Sunset Park,Bicycle,2016,Percent,0.01763,307
Crown Heights North,Bicycle,2016,Percent,0.02761,308
Crown Heights South,Bicycle,2016,Percent,0.02635,309
Bay Ridge,Bicycle,2016,Percent,0.00926,310
Bensonhurst,Bicycle,2016,Percent,0.00643,311
Borough Park,Bicycle,2016,Percent,0.01078,312
Coney Island,Bicycle,2016,Percent,0.00343,313
Flatbush/Midwood,Bicycle,2016,Percent,0.01954,314
Sheepshead Bay,Bicycle,2016,Percent,0.01579,315
Brownsville,Bicycle,2016,Percent,0.00701,316
East Flatbush,Bicycle,2016,Percent,0.00135,317
Canarsie,Bicycle,2016,Percent,0.00507,318
Astoria,Bicycle,2016,Percent,0.01121,401
Sunnyside/Woodside,Bicycle,2016,Percent,0.00913,402
Jackson Heights,Bicycle,2016,Percent,0.00246,403
Elmhurst/Corona,Bicycle,2016,Percent,0.00574,404
Ridgewood/Glendale,Bicycle,2016,Percent,0.00592,405
Rego Park/Forest Hills,Bicycle,2016,Percent,0.00193,406
Flushing,Bicycle,2016,Percent,0.00517,407
Fresh Meadows/Briarwood,Bicycle,2016,Percent,0.0025,408
Woodhaven,Bicycle,2016,Percent,0.01215,409
Howard Beach,Bicycle,2016,Percent,0,410
Bayside,Bicycle,2016,Percent,0.00155,411
Jamaica/St. Albans,Bicycle,2016,Percent,0.00016,412
Queens Village,Bicycle,2016,Percent,0.00234,413
The Rockaways,Bicycle,2016,Percent,0.00192,414
St. George,Bicycle,2016,Percent,0.00031,501
South Beach,Bicycle,2016,Percent,0.00077,502
Tottenville,Bicycle,2016,Percent,0,503
Bronx,Bicycle,2016,Percent,0.00418,36005
Brooklyn,Bicycle,2016,Percent,0.01806,36047
Manhattan,Bicycle,2016,Percent,0.02159,36061
Queens,Bicycle,2016,Percent,0.00464,36081
Staten Island,Bicycle,2016,Percent,0.00034,36085
New York City,Bicycle,2016,Percent,0.01213,3651000
Battery Park/Tribeca,Bicycle,2017,Percent,0.03241,101
Greenwich Village,Bicycle,2017,Percent,0.03241,102
Lower East Side,Bicycle,2017,Percent,0.07313,103
Chelsea/Clinton,Bicycle,2017,Percent,0.03653,104
Midtown Business District,Bicycle,2017,Percent,0.03653,105
Murray Hill/Stuyvesant,Bicycle,2017,Percent,0.017,106
Upper West Side,Bicycle,2017,Percent,0.02399,107
Upper East Side,Bicycle,2017,Percent,0.01378,108
Central Harlem,Bicycle,2017,Percent,0.00797,110
